Comarca,Fa 6 setm. (11/06-17/06),Fa 5 setm. (18/06-24/06),Fa 4 setm. (25/06-01/07),Fa 3 setm. (02/07-08/07),Penúltima setm. (09/07-15/07),Última setm. (16/07-22/07),"Taxa Últ. set./
100.000hab","Taxa Últ. 14d/
100.000hab",% Variació setmanal,Població
Selva,0,1,0,0,0,5,2.91,0,0,171617
Baix Camp,1,0,0,0,1,4,2.09,2.62,300,190973
Barcelonès,7,3,3,3,14,41,1.8,2.41,192.86,2278437
Bages,0,0,0,0,1,3,1.68,2.24,200,178885
Alt Empordà,0,0,0,1,0,2,1.42,0,0,141339
Garraf,1,0,0,0,0,2,1.33,0,0,150887
Maresme,0,2,0,1,0,6,1.33,0,0,452690
Catalunya,15,13,8,14,24,86,1.12,1.43,258.33,7675217
Vallès Oriental,0,1,1,1,1,4,0.98,1.22,300,409638
Baix Llobregat,0,1,0,1,2,8,0.97,1.21,300,825963
Vallès Occidental,0,2,1,4,3,8,0.86,1.19,166.67,925237
Osona,2,0,1,0,2,1,0.62,1.87,-50,160821
Segrià,0,0,0,2,0,1,0.48,0,0,209818
Tarragonès,1,0,1,0,0,1,0.39,0,0,256730
Sense comarca,1,0,0,0,0,0,0,0,0,0
Alt Camp,0,1,0,0,0,0,0,0,0,44296
Baix Empordà,0,1,0,0,0,0,0,0,0,134359
Baix Penedès,0,0,0,0,0,0,0,0,0,104991
Berguedà,0,0,0,0,0,0,0,0,0,39446
Cerdanya,0,0,0,0,0,0,0,0,0,18192
Conca de Barberà,0,0,0,0,0,0,0,0,0,20042
Garrigues,0,0,0,0,0,0,0,0,0,18833
Garrotxa,0,0,1,0,0,0,0,0,0,57590
Gironès,1,1,0,1,0,0,0,0,0,193908
Montsià,0,0,0,0,0,0,0,0,0,67436
Noguera,0,0,0,0,0,0,0,0,0,38770
Pallars Jussà,0,0,0,0,0,0,0,0,0,13080
Pallars Sobirà,0,0,0,0,0,0,0,0,0,6932
Pla d'Urgell,0,0,0,0,0,0,0,0,0,36693
Pla de l'Estany,0,0,0,0,0,0,0,0,0,32293
Priorat,0,0,0,0,0,0,0,0,0,9245
Alt Penedès,0,0,0,0,0,0,0,0,0,108411
Ribera d'Ebre,0,0,0,0,0,0,0,0,0,21865
Ripollès,1,0,0,0,0,0,0,0,0,25087
Segarra,0,0,0,0,0,0,0,0,0,23052
Solsonès,0,0,0,0,0,0,0,0,0,13469
Terra Alta,0,0,0,0,0,0,0,0,0,11490
Urgell,0,0,0,0,0,0,0,0,0,36693
Aran,0,0,0,0,0,0,0,0,0,10093
Alt Urgell,0,0,0,0,0,0,0,0,0,20177
Moianès,0,0,0,0,0,0,0,0,0,13603
Alta Ribagorça,0,0,0,0,0,0,0,0,0,3802
Anoia,0,0,0,0,0,0,0,0,0,120738
Baix Ebre,0,0,0,0,0,0,0,0,0,77596
