Municipi,Fa 6 setm. (11/06-17/06),Fa 5 setm. (18/06-24/06),Fa 4 setm. (25/06-01/07),Fa 3 setm. (02/07-08/07),Penúltima setm. (09/07-15/07),Última setm. (16/07-22/07),"Taxa Últ. Set./
100.000hab","Taxa Últ. 14d/
100.000hab",R empírica 7 dies,Risc Rebrot,Últ. 3 dies,Total positius,Població
Barcelona,963,1700,6013,13107,14363,11009,672.6,1550.1,0.77,1188.2,2340,199359,1636762
"Hospitalet de Llobregat, l'",141,168,534,1461,2096,1979,747,1538.2,0.94,1452.3,545,36271,264923
Badalona,94,160,566,1225,1456,1337,606.5,1267,0.92,1163.5,347,27806,220440
Terrassa,67,76,335,898,1327,1211,549.1,1150.7,0.91,1050.1,347,23998,220556
Sabadell,61,70,550,1033,1228,1135,531.3,1106,0.92,1022.3,287,23805,213644
Tarragona,83,80,217,653,768,766,569.5,1140.4,1,1137.4,200,12211,134515
Santa Coloma de Gramenet,45,70,217,540,730,731,613.2,1225.5,1,1227.2,226,15404,119215
Reus,28,50,207,687,773,676,647.7,1388.3,0.87,1214.1,200,12936,104373
Lleida,16,20,106,327,595,637,458.4,886.6,1.07,949.2,172,17148,138956
Cornellà de Llobregat,44,75,204,515,645,621,701,1429,0.96,1375.8,172,10462,88592
Mataró,33,61,236,508,650,582,453.7,960.5,0.9,860,131,15012,128265
Sant Cugat del Vallès,36,70,365,748,785,573,629.6,1492.2,0.73,1089.2,166,9411,91006
Girona,49,46,259,549,601,491,482.1,1072.1,0.82,875.9,136,12663,101852
Rubí,21,49,126,325,486,487,628.7,1256.1,1,1258.7,123,8533,77464
Castelldefels,27,31,186,372,516,449,670.1,1440.2,0.87,1253.2,106,6790,67004
Sant Boi de Llobregat,42,62,176,483,481,419,501.2,1076.5,0.87,937.7,124,9146,83605
Granollers,19,20,130,382,411,412,672.4,1343.1,1,1346.4,101,7686,61275
"Prat de Llobregat, el",47,46,134,371,372,381,589.8,1165.7,1.02,1193.9,86,6533,64599
Vilanova i la Geltrú,27,45,91,369,414,377,562,1179.1,0.91,1073.7,75,5152,67086
Viladecans,22,31,132,368,384,348,522.4,1098.9,0.91,995.9,111,6803,66611
Manresa,22,16,93,184,237,315,405.3,710.3,1.33,944.1,93,9063,77714
Mollet del Vallès,15,10,109,285,307,291,567.1,1165.3,0.95,1104.6,72,6356,51318
