Comarca,Fa 6 setm. (11/06-17/06),Fa 5 setm. (18/06-24/06),Fa 4 setm. (25/06-01/07),Fa 3 setm. (02/07-08/07),Penúltima setm. (09/07-15/07),Última setm. (16/07-22/07),"Taxa Últ. set./
100.000hab","Taxa Últ. 14d/
100.000hab",R empírica 7 dies,Risc Rebrot,Població
Alt Urgell,3,10,69,82,126,158,783.07,1407.54,1.25,1759.43,20177
Barcelonès,1253,2115,7410,16546,18892,15278,670.55,1499.71,0.81,1214.77,2278437
Baix Camp,52,80,311,1154,1301,1214,635.69,1316.94,0.93,1224.75,190973
Selva,65,73,161,756,1266,994,579.2,1316.89,0.79,1040.34,171617
Baix Empordà,33,29,175,641,863,772,574.58,1216.89,0.89,1083.03,134359
Baix Llobregat,420,562,1925,4682,5076,4569,553.17,1167.73,0.9,1050.95,825963
Vallès Occidental,354,455,2159,4580,5709,5114,552.72,1169.75,0.9,1052.78,925237
Catalunya,3262,4649,17695,41356,48399,41826,544.95,1175.54,0.86,1010.96,7675217
Vallès Oriental,160,178,1012,2340,2376,2231,544.63,1124.65,0.94,1057.18,409638
Tarragonès,138,127,323,1248,1551,1398,544.54,1148.68,0.9,1033.81,256730
Maresme,145,220,1105,2417,2849,2353,519.78,1149.13,0.83,953.78,452690
Pla d'Urgell,1,9,30,98,160,185,504.18,940.23,1.16,1090.67,36693
Garraf,59,106,388,1224,1007,736,487.78,1155.17,0.73,843.27,150887
Gironès,82,77,400,975,1105,938,483.73,1053.59,0.85,895.55,193908
Alt Penedès,49,42,178,562,594,520,479.66,1027.57,0.88,904.27,108411
Alt Camp,14,23,37,164,219,212,478.6,973,0.97,943.81,44296
Moianès,5,7,17,53,54,61,448.43,845.4,1.13,955.3,13603
Bages,40,37,189,501,641,771,431,789.33,1.2,947.2,178885
Solsonès,3,18,87,90,45,57,423.19,757.29,1.27,961.76,13469
Pallars Sobirà,1,6,16,11,27,29,418.35,807.85,1.07,864.4,6932
Segrià,36,35,140,444,805,857,408.45,792.12,1.06,839.64,209818
Baix Penedès,67,64,143,344,486,427,406.7,869.6,0.88,765.25,104991
Pla de l'Estany,7,22,76,102,122,130,402.56,780.35,1.07,834.98,32293
Anoia,74,71,173,441,498,476,394.24,806.71,0.96,774.44,120738
Alt Empordà,27,49,102,270,567,555,392.67,793.84,0.98,777.96,141339
Noguera,9,11,34,68,174,151,389.48,838.28,0.87,729.3,38770
Terra Alta,1,1,12,32,19,41,356.83,522.19,2.16,1127.93,11490
Montsià,9,15,47,88,220,235,348.48,674.71,1.07,721.95,67436
Pallars Jussà,1,0,13,34,55,43,328.75,749.24,0.78,584.41,13080
Baix Ebre,27,71,118,176,265,229,295.12,636.63,0.86,547.5,77596
Urgell,16,8,12,85,137,107,291.61,664.98,0.78,518.68,36693
Alta Ribagorça,4,0,1,3,10,11,289.32,552.34,1.1,607.57,3802
Garrotxa,33,34,113,180,194,159,276.09,612.95,0.82,502.62,57590
Cerdanya,0,0,53,115,71,49,269.35,659.63,0.69,455.15,18192
Priorat,0,2,26,17,20,24,259.6,475.93,1.2,571.12,9245
Osona,45,69,387,441,507,402,249.97,565.22,0.79,446.53,160821
Segarra,7,8,36,60,61,57,247.27,511.89,0.93,476.06,23052
Conca de Barberà,4,8,117,83,82,47,234.51,643.65,0.57,366.88,20042
Ripollès,2,0,30,52,35,56,223.22,362.74,1.6,580.38,25087
Berguedà,3,3,45,101,102,88,223.09,481.67,0.86,414.24,39446
Garrigues,3,1,13,42,47,42,223.01,472.57,0.89,420.59,18833
Ribera d'Ebre,6,2,10,32,31,39,178.37,320.15,1.26,403.39,21865
Aran,4,1,2,22,30,11,108.99,406.22,0.37,150.3,10093
