Comarca,10/06/21,17/06/21,24/06/21,01/07/21,08/07/21,15/07/21,22/07/21,Taxa d'ingressats /100.000 hab.,"% Canvi
Últ. Setm.",Població
Cerdanya,0,0,0,0,1,1,2,10.99,100,18192
Urgell,0,1,1,0,0,2,3,8.18,50,36693
Pallars Jussà,0,0,0,0,1,1,1,7.65,0,13080
Moianès,0,0,0,0,0,1,1,7.35,0,13603
Gironès,6,4,7,4,4,8,14,7.22,75,193908
Barcelonès,52,47,48,41,71,102,164,7.2,60.8,2278437
Alt Empordà,2,1,0,0,0,4,8,5.66,100,141339
Noguera,0,0,0,0,0,1,2,5.16,100,38770
Baix Ebre,5,1,0,0,1,2,4,5.15,100,77596
Berguedà,1,0,0,0,0,2,2,5.07,0,39446
Alt Urgell,0,0,0,0,0,0,1,4.96,Inf,20177
Vallès Occidental,10,10,13,16,27,40,45,4.86,12.5,925237
Alt Penedès,1,1,1,0,1,2,5,4.61,150,108411
Ribera d'Ebre,0,0,0,0,0,0,1,4.57,Inf,21865
Segrià,3,2,4,1,3,2,9,4.29,350,209818
Baix Camp,4,1,0,0,1,3,8,4.19,166.7,190973
Garraf,3,3,2,1,2,5,6,3.98,20,150887
Maresme,8,7,7,5,7,12,16,3.53,33.3,452690
Tarragonès,10,8,8,6,4,4,9,3.51,125,256730
Selva,2,4,1,1,1,4,6,3.5,50,171617
Vallès Oriental,17,9,7,7,12,14,14,3.42,0,409638
Baix Llobregat,12,10,6,7,7,12,25,3.03,108.3,825963
Baix Penedès,0,0,0,0,1,3,3,2.86,0,104991
Bages,2,0,0,0,1,6,5,2.8,-16.7,178885
Anoia,4,1,1,0,1,1,3,2.48,200,120738
Baix Empordà,4,4,1,1,1,1,1,0.74,0,134359
Osona,2,2,2,1,0,0,1,0.62,Inf,160821
Alt Camp,2,0,0,0,0,0,0,0,NaN,44296
Alta Ribagorça,0,0,0,0,0,0,0,0,NaN,3802
Conca de Barberà,0,0,0,0,0,0,0,0,NaN,20042
Garrigues,1,0,0,0,0,0,0,0,NaN,18833
Garrotxa,2,3,2,2,0,0,0,0,NaN,57590
Montsià,2,1,1,0,0,0,0,0,NaN,67436
Pallars Sobirà,0,0,0,1,1,0,0,0,NaN,6932
Pla d'Urgell,1,1,1,1,2,1,0,0,-100,36693
Pla de l'Estany,0,0,0,0,0,0,0,0,NaN,32293
Priorat,0,0,0,0,0,0,0,0,NaN,9245
Ripollès,0,0,0,0,0,0,0,0,NaN,25087
Segarra,0,0,0,0,0,0,0,0,NaN,23052
Solsonès,0,0,0,0,0,0,0,0,NaN,13469
Terra Alta,0,0,1,1,1,0,0,0,NaN,11490
Aran,0,0,0,0,0,1,0,0,-100,10093
