Comarca,Vacunacions últ. setm.,Vacunacions totals,% població vacunada,Data finalització al ritme actual,Vacunacions +65a últ. setm.,Vacunacions +65a totals,% +65a vacunats,Data finalització +65a,Població +65a,Població total
Alt Camp,1384,25060,56.57,2021-10-12,34,8073,96.31,2021-09-08,8382,44296
Alt Empordà,4444,69766,49.36,2021-10-27,75,22760,88.05,2022-04-21,25848,141339
Alt Penedès,3311,59548,54.93,2021-10-18,70,18419,96.95,2021-09-02,18998,108411
Alt Urgell,485,10775,53.4,2021-11-19,11,4006,90.92,2022-03-18,4406,20177
Alta Ribagorça,159,2283,60.05,2021-09-11,1,673,87.4,2023-05-17,770,3802
Anoia,2841,65144,53.95,2021-11-20,106,20822,94.81,2021-09-20,21962,120738
Bages,4940,99065,55.38,2021-10-28,126,33811,94.47,2021-10-25,35791,178885
Baix Camp,6373,107584,56.33,2021-10-06,106,33137,98.9,2021-07-31,33507,190973
Baix Ebre,2372,45697,58.89,2021-10-09,46,16108,93.81,2021-12-15,17171,77596
Baix Empordà,4436,71880,53.5,2021-10-13,138,23822,91.84,2021-10-22,25939,134359
Baix Llobregat,31053,474355,57.43,2021-09-24,436,142108,97.84,2021-08-26,145243,825963
Baix Penedès,3177,55677,53.03,2021-10-23,94,18847,93.1,2021-10-19,20244,104991
Barcelonès,102597,1322648,58.05,2021-09-10,1597,447197,94.22,2021-11-04,474614,2278437
Berguedà,949,23401,59.32,2021-11-02,57,8933,91.89,2021-10-11,9721,39446
Cerdanya,634,9715,53.4,2021-10-08,8,2890,90.14,2022-04-09,3206,18192
Conca de Barberà,639,11436,57.06,2021-10-09,22,4107,92.69,2021-10-18,4431,20042
Garraf,4127,83226,55.16,2021-10-29,138,25602,96.43,2021-08-24,26550,150887
Garrigues,706,11666,61.94,2021-09-16,12,4510,94.23,2021-12-15,4786,18833
Garrotxa,1978,30952,53.75,2021-10-09,24,11190,95.16,2021-12-19,11759,57590
Gironès,6208,102741,52.98,2021-10-17,62,28963,99.03,2021-08-08,29247,193908
Maresme,17159,257994,56.99,2021-09-24,332,81573,98.01,2021-08-10,83226,452690
Moianès,361,7181,52.79,2021-11-08,2,2583,98.33,2021-12-08,2627,13603
Montsià,2486,37811,56.07,2021-09-28,55,13582,95.5,2021-09-26,14222,67436
Noguera,1389,22046,56.86,2021-09-29,7,7786,91.98,2023-05-17,8465,38770
Osona,9628,88664,55.13,2021-08-28,110,27877,96.97,2021-08-31,28747,160821
Pallars Jussà,372,7569,57.87,2021-10-18,7,3006,90.35,2022-05-24,3327,13080
Pallars Sobirà,225,3477,50.16,2021-10-22,5,1130,81.71,2022-06-26,1383,6932
Pla d'Urgell,1261,20571,56.06,2021-10-04,27,6585,92.93,2021-11-13,7086,36693
Pla de l'Estany,975,17935,55.54,2021-10-18,16,5898,102.5,2021-05-05,5754,32293
Priorat,257,5392,58.32,2021-10-19,6,2189,91.44,2022-03-03,2394,9245
Ribera d'Ebre,514,13342,61.02,2021-10-31,8,5123,96.53,2021-12-15,5307,21865
Ripollès,793,14573,58.09,2021-10-07,28,5952,93.01,2021-10-26,6399,25087
Segarra,525,12615,54.72,2021-11-23,12,3810,94.21,2021-11-20,4044,23052
Segrià,9013,124073,59.13,2021-09-11,150,36764,97.69,2021-08-16,37633,209818
Selva,5254,87939,51.24,2021-10-26,88,28219,93.96,2021-11-28,30033,171617
Solsonès,365,7248,53.81,2021-11-03,2,2554,91.57,2023-10-07,2789,13469
Tarragonès,8644,142362,55.45,2021-10-07,186,42132,98.18,2021-08-05,42914,256730
Terra Alta,318,7139,62.13,2021-10-10,7,3163,94.08,2022-01-22,3362,11490
Urgell,1164,20914,57,2021-10-09,28,7030,97.52,2021-08-20,7209,36693
Vall d'Aran,331,5091,50.44,2021-10-20,3,1329,92.87,2022-03-02,1431,10093
Vallès Occidental,36295,522533,56.48,2021-09-22,612,151964,98.98,2021-07-24,153533,925237
Vallès Oriental,16012,234043,57.13,2021-09-21,329,67823,99.31,2021-07-17,68294,409638
Catalunya,296154,4343131,56.59,2021-09-23,5183,1384050,95.93,2021-09-24,1442754,7675217
